epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.35,1.55114,3.94238,1.88899,0.00998,0.93133,0.07948,0.03956,1.4973,4.18524,1.36527,0.00018564,0.00018564,0.00018564
2,692.114,1.25038,3.49997,1.64333,0.00751,0.86466,0.13936,0.09109,1.52366,3.86386,1.37953,0.000370927,0.000370927,0.000370927
3,1033.67,1.32023,3.02665,1.68247,0.41912,0.2065,0.13958,0.0848,1.60015,3.99241,1.45368,0.00054858,0.00054858,0.00054858
4,1384,1.35677,2.68317,1.67241,0.13526,0.51457,0.20885,0.12574,1.5716,5.08316,1.41574,0.000671588,0.000671588,0.000671588
5,1730.5,1.40523,2.53224,1.6763,0.33073,0.32039,0.21713,0.12387,1.68924,3.65292,1.4668,0.000657451,0.000657451,0.000657451
6,2078.09,1.31779,2.25649,1.64026,0.20339,0.44626,0.279,0.17824,1.48036,4.19178,1.41931,0.000643314,0.000643314,0.000643314
7,2417.29,1.30853,2.22587,1.62379,0.16706,0.38193,0.2714,0.16589,1.55835,4.01656,1.41363,0.000629177,0.000629177,0.000629177
8,2759.83,1.34448,2.08079,1.64281,0.20548,0.45319,0.26935,0.1667,1.59451,4.10979,1.41203,0.00061504,0.00061504,0.00061504
9,3107.02,1.32825,2.02035,1.59484,0.34988,0.46247,0.39878,0.22705,1.47772,3.19388,1.37947,0.000600902,0.000600902,0.000600902
10,3445.43,1.28899,1.89666,1.59115,0.26752,0.51881,0.34697,0.21086,1.58897,2.93213,1.36949,0.000586765,0.000586765,0.000586765
11,3786.43,1.29281,1.85211,1.58796,0.3154,0.49426,0.372,0.23938,1.5494,3.30263,1.32855,0.000572628,0.000572628,0.000572628
12,4129.48,1.30551,1.83297,1.58503,0.49662,0.40877,0.3119,0.18001,1.62178,3.33953,1.38855,0.000558491,0.000558491,0.000558491
13,4470.75,1.27078,1.71428,1.56276,0.61603,0.42876,0.36591,0.22687,1.52934,3.04465,1.39342,0.000544354,0.000544354,0.000544354
14,4813.75,1.23661,1.68548,1.53976,0.354,0.40101,0.40449,0.2489,1.49336,2.95993,1.38028,0.000530216,0.000530216,0.000530216
15,5153.66,1.24763,1.64832,1.53597,0.36004,0.52287,0.44403,0.26463,1.55775,2.94455,1.46911,0.000516079,0.000516079,0.000516079
16,5489.93,1.21966,1.61792,1.51861,0.39334,0.43551,0.38833,0.23246,1.60402,2.95908,1.39369,0.000501942,0.000501942,0.000501942
17,5823.04,1.26152,1.59517,1.54605,0.46605,0.53617,0.3809,0.23989,1.46647,3.11492,1.38936,0.000487805,0.000487805,0.000487805
